,cid,podcaster_id,title,episode_count,sub_count,primary_cid,name
2007,4582954,22875751.0,تاریخ نگاری شکست خوردگان,17,142,,پادکست فارسی| تاریخ نگاری شکست خوردگان
3008,2333541,15242085.0,رادیو گردانیه,3,142,,فاروق قادری
3914,3231980,19509189.0,پادکست حقوق کست | Law cast podcast,3,142,,pody team
3772,4556843,23183285.0,چهار و نه دقیقه | 04:09,19,142,5078494.0,littleamir
1424,4899189,24437503.0,Eshgh Danad/ عشق داند,15,142,,mahboub shariati
948,2132728,13568381.0,PID Podcast / پادکست پی‌آی‌دی,2,142,,Amirsoheil Kordkarimi
781,5567461,17951253.0,دریاچه رویایی: مائیو بنچی با خوانش علی صفری,95,142,,Ali Safari
2548,3037453,18986777.0,RoboCast,28,142,,alireza saboukhi
438,4627525,23676879.0,Accountant Life by Amin Ghanbari,9,142,,Amin Ghanbari
1289,4947820,22094499.0,آنکات فارسی || UncutFarsi,27,141,,Uncut Podcast
1609,5550451,30420468.0,تفسیر آیه به آیه قرآن,2560,141,,Tafsire gooya Noor
1570,3886500,21438099.0,Radio Afra | رادیو افرا,27,141,,Radio Afra | رادیو افرا
753,4656932,23597444.0,پادکست دکلمه های عاشقانه,18,141,,پادکست دکلمه های عاشقانه علیرضا طالبی
531,2953865,18155575.0,HooPod / پادکست فارسی هوپاد,4,140,,Hooman Bagherian
2209,4664482,23915643.0,پادکست هفت بیجار,7,140,,lichar podcast
1876,4971538,13449826.0,کیو پادکست,12,139,,kiumars soleimanian
268,2500171,12819871.0,Serre Ashekar | پادکست سر آشکار,95,139,,PersianBMS
3193,2502069,16699122.0,ژاپن‌باز,1,139,,sina f
2953,2690741,17638728.0,dariush delan,27,138,,Hamed Abedi
2470,3458290,20090227.0,پادکست برابری,14,138,,Arsehsevom
2052,4517558,21748978.0,Paagard,11,138,,Maliheh Mousavi
1086,3591458,20521556.0,Radio 10 Shab | رادیو ده شب,16,138,,Mim Amin
3300,2011358,8334591.0,DastaneAsr,167,138,,Majid Ale Ebrahim
1634,3638482,20659485.0,بازیولوژی,15,137,,مجید توکلی
3628,1493676,8335374.0,Persian lectures درس گفتارها,6,137,,moein
1307,5389757,23517952.0,Cheragah | چراگاه,11,137,,Mehran Hassanzadeh
282,1806335,12819871.0,Masire Sabz | پادکست مسیر سبز,15,136,,PersianBMS
1772,2708728,17917043.0,Bud Podcast | پادکست بود,114,136,,Bud Podcast | پادکست بود
1501,4037158,19443723.0,رادیو خاکستری,5,136,,آرسام ابراهیمی ، میکائیل حکیمی
3782,5075914,23475202.0,MSCAST- ام اس کست,35,136,,IMAN ADIBI
3346,2863670,18611383.0,Phytale,4,136,,Phytale | فی تیل
1673,3669179,20761478.0,پادکست ماچ | Much Podcast,3,136,,Shahram Esmaeili | شهرام اسماعیلی
4162,3594068,20538322.0,ShamShin | شَم شین,32,135,,ShamShin
